Date,Symbol,Open,High,Low,Close,Volume From,Volume To
5/26/2018,BTCUSD,7459.11,7640.46,7380,7520,2722.8,20422651.81
5/25/2018,BTCUSD,7584.15,7661.85,7326.94,7459.11,8491.93,63420692.82
5/24/2018,BTCUSD,7505,7734.99,7269,7584.15,11033.72,82931373.76
5/23/2018,BTCUSD,7987.7,8030,7433.19,7505,14905.99,114810431.5
5/22/2018,BTCUSD,8393.44,8400,7950,7987.7,6589.43,53897527.48
5/21/2018,BTCUSD,8516.86,8584.39,8309.23,8393.44,4844.48,40909022.48
5/20/2018,BTCUSD,8235.6,8596.74,8172,8516.86,4273.42,35902082.55
5/19/2018,BTCUSD,8238.51,8390,8152.54,8235.6,4117.42,34005517.03
5/18/2018,BTCUSD,8059,8279.63,7927.21,8238.51,7715.22,62470941.97
5/17/2018,BTCUSD,8344,8482.01,8001,8059,7926.38,65295038.3
5/16/2018,BTCUSD,8477.46,8500,8104.99,8344,9914.22,81955959.22
5/15/2018,BTCUSD,8670,8847,8420.45,8477.46,10250.04,88297355.67
5/14/2018,BTCUSD,8686.1,8880.01,8289.79,8670,13418.34,115748349.8
5/13/2018,BTCUSD,8475,8774.32,8345,8686.1,6259.26,53639665.94
5/12/2018,BTCUSD,8403.33,8658.57,8223.43,8475,10792.17,90952428.28
5/11/2018,BTCUSD,9010.51,9010.51,8351,8403.33,15907.06,137940903.1
5/10/2018,BTCUSD,9300.08,9386.31,9001.01,9010.51,7218.76,66420658.6
5/9/2018,BTCUSD,9177.81,9370,8960,9300.08,8129.59,74546897.15
5/8/2018,BTCUSD,9353,9463.13,9050,9177.81,8950.5,82566086.42
5/7/2018,BTCUSD,9600,9619.55,9162.85,9353,9317.83,86959663.38
5/6/2018,BTCUSD,9800,9880,9390,9600,7112.87,68458545.47
5/5/2018,BTCUSD,9685,9948.12,9660.28,9800,8827.89,86787106.26
5/4/2018,BTCUSD,9725.74,9743.87,9465,9685,10013.2,96569125.26
5/3/2018,BTCUSD,9190.48,9800,9131,9725.74,13700.5,129425309.7
5/2/2018,BTCUSD,9072.29,9250.04,8990,9190.48,8212.95,74933819.79
5/1/2018,BTCUSD,9243.83,9245.37,8831.21,9072.29,10763.33,96666932.01
4/30/2018,BTCUSD,9389.01,9446.98,9119,9243.83,8320.14,77222420.62
4/29/2018,BTCUSD,9329.99,9512.5,9179.99,9389.01,7545.14,70623571.2
4/28/2018,BTCUSD,8922.55,9440.01,8863.42,9329.99,8413.13,77754446.67
4/27/2018,BTCUSD,9272.11,9369,8910,8922.55,11378.78,104539338.7
4/26/2018,BTCUSD,8865.98,9318,8660,9272.11,14759.34,131435230.3
4/25/2018,BTCUSD,9648,9763.49,8602.43,8865.98,29386.63,269894051.2
4/24/2018,BTCUSD,8931.3,9728.56,8930,9648,19437.27,181524168.3
4/23/2018,BTCUSD,8795.01,8991,8775.1,8931.3,7780.82,69214737.03
4/22/2018,BTCUSD,8915.42,9015,8754.01,8795.01,7215.69,64164105.31
4/21/2018,BTCUSD,8866.27,9038.87,8610.7,8915.42,11250.01,99156727.62
4/20/2018,BTCUSD,8274,8932.56,8216.21,8866.27,14891.29,126835932.4
4/19/2018,BTCUSD,8152.05,8300,8105,8274,11199.38,92034904.14
4/18/2018,BTCUSD,7892.1,8243.99,7879.8,8152.05,10071,81308219.64
4/17/2018,BTCUSD,8048.93,8162.5,7822,7892.1,10184.17,81563611.65
